"ID","nomArch","coteArch","dateEntree","nature","modeEntree","servProd","typeProd","activiteProd","descContenu","natureSupport","mlEntree","nbreArt","dateYear"
771,"Archives municipales d'Avignon","Fi","07/05/2013","Archives privées","Achat",NA,NA,"Lot de 141 photographies anciennes","Lot de 141 photographies anciennes, XIXème-XXème siècles.","Support papier","0,05",0,"2013"
772,"Archives municipales d'Avignon","82Fi","13/01/2014","Archives privées","Don",NA,NA,"Lot de 4 photographies","Lot de 4 photographies : groupe à Montfavet (1891) ; Bateau-Ecole Le Strasbourg (1925) ; présentation de la voiture électrique, place de l'Horloge (années 1980).","Support électronique","0,01",4,"2014"
773,"Archives municipales d'Avignon","1189W","11/03/2014","Archives publiques","Versement",NA,NA,"Hygiène","28 articles","Support papier","0",28,"2014"
774,"Archives municipales d'Avignon","1190W","07/03/2014","Archives publiques","Versement",NA,NA,"Direction générale","31 articles (6 boites)","Support papier","0",31,"2014"
775,"Archives municipales d'Avignon","1191W","06/03/2014","Archives publiques","Versement",NA,NA,"Centre hospitalier d'Avignon","12 articles de la direction des achats et de la logistique, cellule des marchés (1999-2003).","Support papier","2,1",12,"2014"
776,"Archives municipales d'Avignon","1192W","06/03/2014","Archives publiques","Versement",NA,NA,"Communication","Revues de presse et revues de presse tirée à part (2003-2013).","Support papier","36",70,"2014"
777,"Archives municipales d'Avignon","1193W","24/09/2014","Archives publiques","Versement",NA,NA,"Direction générale des services techniques","18 articles archives de M. DUBUY (1994-2011). Versement de 39 articles + boite 10 bis qui devient n° 40 le 24/09/2014 + 182 articles au 25/02/2015 = 237 articles (1982-2014).","Support papier","8",40,"2014"
778,"Archives municipales d'Avignon","1190W","19/03/2014","Archives publiques","Versement",NA,NA,"Direction générale","9 articles (2 boites de JLC à intégrer dans le versement 1190W)","Support papier","0,2",9,"2014"
779,"Archives municipales d'Avignon","1195W","19/03/2014","Archives publiques","Versement",NA,NA,"Secrétariat général","18 registres officiels des séances du conseil municipal (2001-2006).","Support papier","0",18,"2014"
780,"Archives municipales d'Avignon","82Z","18/06/2013","Archives publiques","Don",NA,NA,"Puaux, Paul et Melly",NA,"Support papier","4,3",34,"2013"
782,"Archives municipales d'Avignon","1196W","24/03/2014","Archives publiques","Versement",NA,NA,"Communication","Archives du service, de Fabien Strack, cassettes vidéo, CD....","Support papier","52",0,"2014"
783,"Archives municipales d'Avignon","1197W","28/03/2014","Archives publiques","Versement",NA,NA,"Cabinet du Maire","Archives du chef et du directeur du cabinet du maire.","Support papier","3,5",34,"2014"
784,"Archives municipales d'Avignon","1198W","08/04/2014","Archives publiques","Versement",NA,NA,"Commande publique","Marchés soldés","Support papier","5",33,"2014"
785,"Archives municipales d'Avignon","1199W","08/04/2014","Archives publiques","Versement",NA,NA,"Commande publique","CONR","Support papier","8",54,"2014"
786,"Archives municipales d'Avignon","1200W","02/04/2014","Archives publiques","Versement",NA,NA,"Patrimoine historique","Vrac archives du service (1983-2011)","Support papier","10,2",0,"2014"
787,"Archives municipales d'Avignon","1201W","24/06/2014","Archives publiques","Versement",NA,NA,"Police municipale","123 articles (destinés à l'élimination d'après le service)","Support papier","13,5",123,"2014"
788,"Archives municipales d'Avignon","1204W","24/06/2014","Archives publiques","Versement",NA,NA,"Police municipale","58 articles (mains courantes, fiches de mission, rapports d'information, correspondance) (1990-2011).","Support papier","6,2",58,"2014"
789,"Archives municipales d'Avignon","1203W","08/04/2014","Archives publiques","Versement",NA,NA,"Communication","Archives de Fabien Strack et de son secrétariat","Support papier","0",0,"2014"
790,"Archives municipales d'Avignon","9Fi","07/03/2013","Archives privées","Don",NA,NA,"Carte postale","Carte postale représentant la fresque de Pierre Contier à l'hôtel Terminus, Avignon","Support papier","0,01",1,"2013"
791,"Archives municipales d'Avignon","1202W","14/04/2014","Archives publiques","Versement",NA,NA,"Musée Requien","20 articles de comptabilité et de gestion du personnel (1949-2008).","Support papier","2",20,"2014"
792,"Archives municipales d'Avignon","1205W","15/04/2014","Archives publiques","Versement",NA,NA,"Service social et prestations sociales","Photocopies des dossiers transmis au CNAS","Support papier","3,7",37,"2014"
793,"Archives municipales d'Avignon","Fi et 83Z","10/04/2014","Archives privées","Don",NA,NA,"Fonds Silvestre, Michel","Lot de documents, dessins, plans, études architecturales, maquettes de l'architecte Michel Silvestre alors qu'il était étudiant.","Support papier","1",70,"2014"
794,"Archives municipales d'Avignon","1Z45","25/02/2014","Archives privées","Don",NA,NA,"Lenoir, Geneviève","Don de documents relatif à la famille DECOR de Crillon-le-Brave (Vaucluse) (livrets militaires, gravures, insignes militaires, photographies, paquets de tabac, plaques d’identification).","Support mixte","0",0,"2014"
795,"Archives municipales d'Avignon","1Z46","03/04/2014","Archives privées","Don",NA,NA,"Cavard, Mireille née Dupasquier","Copies numériques de documents. Il s’agit de lettres échangées pendant la Première Guerre mondiale par les proches (famille, soldats amis) de Louis Dupasquier, Avignonnais mobilisé et mort au front (oncle de la donatrice), portrait photo.","Support papier","0",0,"2014"
796,"Archives municipales d'Avignon","Fi","11/03/2014","Archives privées","Achat",NA,NA,"Trois document figurés","Portrait imprimé de Saint-Martin ; Portrait d'Anatole Chauffard ; Portrait de Paul Pamard.","Support papier","0,03",3,"2014"
797,"Archives municipales d'Avignon","1206W","15/04/2014","Archives publiques","Versement",NA,NA,"Financiers",NA,"Support papier","0",46,"2014"
798,"Archives municipales d'Avignon","1207W","15/04/2014","Archives publiques","Versement",NA,NA,"Département actions culturelles et animations","Archives Jacques Montaignac : 1 CD-Rom (2006-2008), 30 disquettes (1997-2005).","Support papier","0,1",31,"2014"
799,"Archives municipales d'Avignon","49Fi","15/04/2014","Archives privées","Don",NA,NA,"1 photographie d'Avignon","Photographie de format 18x24 représentant le panorama d'Avignon avec le bac à traille au premier plan, conduit par le grand-père de M. Frédéric Rogier.","Support papier","0,01",1,"2014"
800,"Archives municipales d'Avignon","3Fi","22/04/2014","Archives privées","Don",NA,NA,"2 cartes d'Etat-Major de la région d'Avignon","2 cartes d'Etat-Major de la région d'Avignon : feuilles Orange-Carpentras-Cavaillon de 1890 ; feuille Avignon de 1840.","Support mixte","0,02",2,"2014"
801,"Archives municipales d'Avignon","Divers Fi","21/05/2013","Archives privées","Achat",NA,NA,"Lot de documents photographiques","46 phototypes divers ; 2 albums photographiques ; 1 aristotype","Support papier","0,1",49,"2013"
802,"Archives municipales d'Avignon","67Fi","25/04/2014","Archives privées","Don",NA,NA,"Lot de cartes postales","Lot de 21 cartes postales noir et blanc reproduisant des oeuvres conservées au musée Calvet.","Support papier","0,01",21,"2014"
803,"Archives municipales d'Avignon","2Fi142","25/04/2014","Archives privées","Achat",NA,NA,"Diplôme de l'école des Beaux-Arts d'Avignon","Diplôme de l'école des Beaux-Arts d'Avignon décerné à Henri Chevalier le 9 août 1885.","Support papier","0,01",1,"2014"
804,"Archives municipales d'Avignon","2Fi143","25/04/2014","Archives privées","Achat",NA,NA,"Gravure du XVIIIème siècle","Gravure de Daugard, représentant un chavalier et un officier de la Compagnie de l'Arc de Monsieur le marquis d'Orsan, pour illustrer l'ouvrage du père Bontous, ""L'Auguste piété de la royale maison de Bourbon, 1701.","Support papier","0,01",1,"2014"
