"ID","nomArch","coteArch","dateEntree","statutJur","modeEntree","servProd","typeProd","activiteProd","descContenu","natureSupport","mlEntree","nbreArt"
6870,"Archives municipales de St Etienne","E","17/01/2008","Archives publiques","Versement",NA,NA,"Registres d'état civil","Registres d'état civil","Support papier","0,60",6
6870,"Archives municipales de St Etienne","E","17/01/2008","Archives publiques","Versement",NA,NA,"Registres d'état civil","Registres d'état civil","Support papier","0,60",6
6871,"Archives municipales de St Etienne","W","16/01/2008","Archives publiques","Versement",NA,NA,"Gestion du service et actions culturelles","Gestion du service et actions culturelles","Support papier","1,70",12
6872,"Archives municipales de St Etienne","S","07/01/2008","Archives privées","Don",NA,NA,"Rapport de stage sur le quartier Manufacture - plaine Achille","Rapport de stage sur le quartier Manufacture - plaine Achille","Support papier","0,05",1
6873,"Archives municipales de St Etienne","S","21/01/2008","Archives privées","Dépôt",NA,NA,"Magazines ""Maillot vert"", DVD, objets, affiches.","Magazines ""Maillot vert"", DVD, objets, affiches.","Support papier","1,00",0
6874,"Archives municipales de St Etienne","W","14/02/2008","Archives publiques","Versement",NA,NA,"Permis de construire","Permis de construire","Support papier","8,10",52
6875,"Archives municipales de St Etienne","W","31/01/2008","Archives publiques","Versement",NA,NA,"Dossiers des spectacles, avants premières, revue de presse.","Dossiers des spectacles, avants premières, revue de presse.","Support papier","31,50",214
6876,"Archives municipales de St Etienne","EL","30/01/2008","Archives publiques","Versement",NA,NA,"Pièces comptables

","Pièces comptables

","Support papier","4,40",29
6877,"Archives municipales de St Etienne","W","14/02/2008","Archives publiques","Versement",NA,NA,"Analyse de la dette","Analyse de la dette","Support papier","2,80",20
6878,"Archives municipales de St Etienne","W","14/02/2008","Archives publiques","Versement",NA,NA,"Titres et mandats 
","Titres et mandats 
","Support papier","0,60",4
6879,"Archives municipales de St Etienne","EL","31/01/2008","Archives publiques","Versement",NA,NA,"Bordereaux titres et mandats, bordereaux annulation mandat et titres.
Inscription restauration scolaire, feuilles pointage.","Bordereaux titres et mandats, bordereaux annulation mandat et titres.
Inscription restauration scolaire, feuilles pointage.","Support papier","29,25",9
6880,"Archives municipales de St Etienne","EL","31/01/2008","Archives publiques","Versement",NA,NA,"Dossiers de préparation aux rapports financiers, garanties d'emprunts.","Dossiers de préparation aux rapports financiers, garanties d'emprunts.","Support papier","6,50",44
6881,"Archives municipales de St Etienne","W","04/02/2008","Archives publiques","Versement",NA,NA,"Elections des Prud'hommes 2002 : listes d'émargement, liste des électeurs.","Elections des Prud'hommes 2002 : listes d'émargement, liste des électeurs.","Support papier","0,90",7
6882,"Archives municipales de St Etienne","EL","05/02/2008","Archives publiques","Versement",NA,NA,"Suivi travaux dans les RPA","Suivi travaux dans les RPA","Support papier","2,25",14
6883,"Archives municipales de St Etienne","EL","05/02/2008","Archives publiques","Versement",NA,NA,"Suivi des travaux dans les bâtiments culturels","Suivi des travaux dans les bâtiments culturels","Support papier","0,90",6
6884,"Archives municipales de St Etienne","W","13/03/2008","Archives publiques","Versement",NA,NA,"Autorisations d'urbanisme pour les lotissements","Autorisations d'urbanisme pour les lotissements","Support papier","0,80",5
6885,"Archives municipales de St Etienne","S","21/02/2008",NA,"Dépôt",NA,NA,"Documents administratifs, revues, DVD, objets, photographies.","Documents administratifs, revues, DVD, objets, photographies.","Support papier","1,00",0
6886,"Archives municipales de St Etienne","FI","05/02/2008","Archives privées","Achat",NA,NA,"""Journal illustré"" du 29 décembre 1878 sur J. Massenet, carte pubicitaire de chocolat avec le portrait de J. massenet, extrait de la ""Géographie de la France"" et de ""la France illustrée"" sur la Loire (1855, 1856).","""Journal illustré"" du 29 décembre 1878 sur J. Massenet, carte pubicitaire de chocolat avec le portrait de J. massenet, extrait de la ""Géographie de la France"" et de ""la France illustrée"" sur la Loire (1855, 1856).","Support papier","0,05",0
6886,"Archives municipales de St Etienne","S","05/02/2008","Archives privées","Achat",NA,NA,"""Journal illustré"" du 29 décembre 1878 sur J. Massenet, carte pubicitaire de chocolat avec le portrait de J. massenet, extrait de la ""Géographie de la France"" et de ""la France illustrée"" sur la Loire (1855, 1856).","""Journal illustré"" du 29 décembre 1878 sur J. Massenet, carte pubicitaire de chocolat avec le portrait de J. massenet, extrait de la ""Géographie de la France"" et de ""la France illustrée"" sur la Loire (1855, 1856).","Support papier","0,05",0
6887,"Archives municipales de St Etienne","FI","13/02/2008","Archives privées","Don",NA,NA,"Documents et objet sur le centenaire de la bourse du travail de Firminy.","Documents et objet sur le centenaire de la bourse du travail de Firminy.","Support papier","0,10",0
6887,"Archives municipales de St Etienne","S","13/02/2008","Archives privées","Don",NA,NA,"Documents et objet sur le centenaire de la bourse du travail de Firminy.","Documents et objet sur le centenaire de la bourse du travail de Firminy.","Support papier","0,10",0
6888,"Archives municipales de St Etienne","FI","19/02/2008","Archives privées","Don",NA,NA,"Fonds photographique du donateur relatif à son activité de reporter photographe.","Fonds photographique du donateur relatif à son activité de reporter photographe.","Support papier","4,50",0
6889,"Archives municipales de St Etienne","S","20/02/2008","Archives privées","Don",NA,NA,"""La fièvre verte"", 1 DVD sur l'ASSE.","""La fièvre verte"", 1 DVD sur l'ASSE.","Support papier","0,05",1
6890,"Archives municipales de St Etienne","NUM","28/02/2008","Archives privées","Don",NA,NA,"1 CDRom de l'exposition photos ""Classes et quartier du Soleil, 1936-1965.","1 CDRom de l'exposition photos ""Classes et quartier du Soleil, 1936-1965.","Support papier","0,05",1
6891,"Archives municipales de St Etienne","W","13/03/2008","Archives publiques","Versement",NA,NA,"Déclarations de travaux","Déclarations de travaux","Support papier","6,50",43
6892,"Archives municipales de St Etienne","W","13/03/2008","Archives publiques","Versement",NA,NA,"Permis de démolir","Permis de démolir","Support papier","0,60",4
6893,"Archives municipales de St Etienne","W","13/03/2008","Archives publiques","Versement",NA,NA,"Permis de démolir","Permis de démolir","Support papier","0,45",3
6894,"Archives municipales de St Etienne","W","13/03/2008","Archives publiques","Versement",NA,NA,"Gestion des locaux municipaux : conventions de mise à disposition et baux divers (conservation d'un échantillonage des années 3 et 8)","Gestion des locaux municipaux : conventions de mise à disposition et baux divers (conservation d'un échantillonage des années 3 et 8)","Support papier","0,45",3
6895,"Archives municipales de St Etienne","EL","13/03/2008","Archives publiques","Versement",NA,NA,"Autorisation de transport de corps, dossiers de crémation, feuilles de renseignements, avis de renouvellement, titres de concessions, fax de travail pour les cimetières.","Autorisation de transport de corps, dossiers de crémation, feuilles de renseignements, avis de renouvellement, titres de concessions, fax de travail pour les cimetières.","Support papier","7,50",50
